嗚呼,ああ,Ah!
立体,りったい,solid body
立法,りっぽう,legislation
利点,りてん,advantage
略語,りゃくご,abbreviation
略奪,りゃくだつ,pillage
流,りゅう,styleof
流通,りゅうつう,circulation of money or goods
了,りょう,finish
料,りょう,material
領域,りょういき,area
了解,りょうかい,comprehension
領海,りょうかい,territorial waters
両極,りょうきょく,both extremities
良好,りょうこう,favorable
良識,りょうしき,good sense
良質,りょうしつ,good quality
了承,りょうしょう,acknowledgement
良心,りょうしん,conscience
領地,りょうち,territory
領土,りょうど,dominion
両立,りょうりつ,compatibility
旅客,りょかく,passenger 
旅券,りょけん,passport
履歴,りれき,personal history
理論,りろん,theory
輪,りん,counter for wheels and flowers
林業,りんぎょう,forestry
類似,るいじ,analogous
類推,るいすい,analogy
冷酷,れいこく,cruelty
冷蔵,れいぞう,cold storage
冷淡,れいたん,coolness
恋愛,れんあい,love
連休,れんきゅう,consecutive holidays
連日,れんじつ,every day
連中,れんじゅう,colleagues
連帯,れんたい,solidarity
連邦,れんぽう,commonwealth
連盟,れんめい,league
老衰,ろうすい,senility
朗読,ろうどく,reading aloud
浪費,ろうひ,waste
労力,ろうりょく,labour
碌な,ろくな,satisfactory
碌に,ろくに,well
露骨,ろこつ,1. frank
論議,ろんぎ,discussion
論理,ろんり,logic
和,わ,sum
我がまま,わがまま,selfishness
枠,わく,frame
惑星,わくせい,planet
技,わざ,art
態と,わざと,on purpose
態々,わざわざ,expressly
煩わしい,わずらわしい,troublesome
渡り鳥,わたりどり,migratory bird
詫び,わび,apology
和風,わふう,Japanese style
和文,わぶん,Japanese text
藁,わら,straw
割合に,わりあいに,comparatively
割り当て,わりあて,allotment
割り込む,わりこむ,to cut in
割り算,わりざん,division 
割引き,わりびき,discount
悪者,わるもの,bad fellow
アイデア,あいであ,idea
アクセル,あくせる,accelerator
アップ,あっぷ,up
アプローチ,あぷろーち,approach 
アマチュア,あまちゅあ,amateur
アラブ,あらぶ,Arab
アルカリ,あるかり,alkali
アルミ,あるみ,aluminum 
アワー,あわー,hour
アンコール,あんこーる,encore
イエス,いえす,Jesus
インターチェンジ,いんたーちぇんじ,interchange
インターナショナル,いんたーなしょなる,international
インターフォン,いんたーふぉん,intercom
インテリ,いんてり,egghead
インフォメーション,いんふぉめーしょん,information
インフレ,いんふれ,inflation
ウェートレス,うぇーとれす,waitress
エアメール,えあめーる,air mail
エレガント,えれがんと,elegant
エンジニア,えんじにあ,engineer
オーケー,おーけー,OK
オートマチック,おーとまちっく,automatic
オープン,おーぷん,open
オリエンテーション,おりえんてーしょん,orientation
オレンジ,おれんじ,an orange
オンライン,おんらいん,on-line
カーペット,かーぺっと,carpet
カクテル,かくてる,cocktail
カット,かっと,cut
カテゴリー,かてごりー,category
カムバック,かむばっく,comeback
カメラマン,かめらまん,cameraman
カンニング,かんにんぐ,cunning
ガイド,がいど,tour guide
ガイドブック,がいどぶっく,guidebook
ガレージ,がれーじ,garage 
キャッチ,きゃっち,catch
キャリア,きゃりあ,career
クイズ,くいず,quiz
クラブ,くらぶ,club
クレーン,くれーん,crane
グラフ,ぐらふ,graph
グレー,ぐれー,grey
ゲスト,げすと,guest
コーナー,こーなー,corner
コマーシャル,こまーしゃる,a commercial
コミュニケーション,こみゅにけーしょん,communication
コメント,こめんと,comment
コンタクト,こんたくと,contact
コンテスト,こんてすと,contest
コントラスト,こんとらすと,contrast
コントロール,こんとろーる,control
コンパス,こんぱす,compass
サイクル,さいくる,cycle
サイズ,さいず,size
サボる,さぼる,to be truant
サンキュー,さんきゅー,thank you
サンタクロース,さんたくろーす,Santa Claus
シート,しーと,seat
システム,しすてむ,system
シック,しっく,chic
シナリオ,しなりお,scenario
ショー,しょー,show
ショック,しょっく,shock
ジーパン,じーぱん,jeans 
ジャズ,じゃず,jazz
ジャンパー,じゃんぱー,jacket
ジャンプ,じゃんぷ,jump
ジャンボ,じゃんぼ,jumbo
ジャンル,じゃんる,genre
スタジオ,すたじお,studio
スチーム,すちーむ,steam
ストライキ,すとらいき,strike
ストレス,すとれす,stress
ストロー,すとろー,straw
ストロボ,すとろぼ,stroboscope 
スピード,すぴーど,speed
スプリング,すぷりんぐ,spring
スペース,すぺーす,space
スポーツカー,すぽーつかー,sports car
スラックス,すらっくす,slacks
セール,せーる,sale
セクション,せくしょん,section
セックス,せっくす,sexual intercourse
セレモニー,せれもにー,ceremony
センス,せんす,good sense 
ゼリー,ぜりー,1. jelly
ソース,そーす,source
ソックス,そっくす,socks
ソロ,そろ,solo
タイトル,たいとる,title
タイピスト,たいぴすと,typist
タイマー,たいまー,timer
タイミング,たいみんぐ,timing
タイム,たいむ,time
タイムリー,たいむりー,timely
タイヤ,たいや,tire
タイル,たいる,tile
タレント,たれんと,talent
タワー,たわー,tower
ダース,だーす,dozen
ダウン,だうん,down
ダブる,だぶる,to coincide 
ダンプ,だんぷ,dump
チームワーク,ちーむわーく,teamwork
チェンジ,ちぇんじ,change
チャイム,ちゃいむ,chime
チャンネル,ちゃんねる,a channel
ティッシュペーパー,てぃっしゅぺーぱー,tissue paper
テレックス,てれっくす,telex
データ,でーた,data
デコレーション,でこれーしょん,decoration
デザート,でざーと,dessert
デザイン,でざいん,design
デモンストレーション,でもんすとれーしょん,demonstration
トーン,とーん,tone
トラブル,とらぶる,trouble 
トランジスター,とらんじすたー,transistor
ドライ,どらい,dry
ドライクリーニング,どらいくりーにんぐ,dry cleaning
ドライバー,どらいばー,driver
ドライブイン,どらいぶいん,drive in
ドリル,どりる,drill
ナイター,ないたー,game under lights 
ナプキン,なぷきん,napkin
ナンセンス,なんせんす,nonsense
ニュー,にゅー,new
ニュアンス,にゅあんす,nuance
ハンガー,はんがー,hangar
バー,ばー,bar
バッジ,ばっじ,badge
バット,ばっと,bat
パジャマ,ぱじゃま,pajamas
パチンコ,ぱちんこ,pachinko 
パトカー,ぱとかー,patrol car
パンク,ぱんく,1. 
ヒント,ひんと,hint
ビールス,びーるす,virus
ビジネス,びじねす,business
ファイト,ふぁいと,fight
ファイル,ふぁいる,file
ファン,ふぁん,fan
フェリー,ふぇりー,ferry
フォーム,ふぉーむ,foam
フロント,ふろんと,front
ブーツ,ぶーつ,boots
ブーム,ぶーむ,boom
ブザー,ぶざー,buzzer
ブルー,ぶるー,blue
ベース,べーす,base
ベスト,べすと,best
ベストセラー,べすとせらー,best-seller
ペア,ぺあ,pair
ホース,ほーす,hose
ホール,ほーる,hall
ボイコット,ぼいこっと,boycott
ボルト,ぼると,volt
ポーズ,ぽーず,pause
ポイント,ぽいんと,point
ポジション,ぽじしょん,position
ポット,ぽっと,pot
ポンプ,ぽんぷ,pump
マーク,まーく,mark
マスコミ,ますこみ,mass communication
マッサージ,まっさーじ,massage
ミスプリント,みすぷりんと,misprint
ミセス,みせす,Mrs.
ミュージック,みゅーじっく,music
ミリ,みり,milli-
ムード,むーど,mood
メーカー,めーかー,maker
メッセージ,めっせーじ,message
メディア,めでぃあ,media
メロディー,めろでぃー,melody
モーテル,もーてる,motel
ヤング,やんぐ,young
ユニーク,ゆにーく,unique
ユニフォーム,ゆにふぉーむ,uniform
ライス,らいす,rice
ラベル,らべる,label
ランプ,らんぷ,lamp
ルーズ,るーず,loose
ルール,るーる,rule
レース,れーす,race
レギュラー,れぎゅらー,regular
レクリエーション,れくりえーしょん,recreation
レッスン,れっすん,lesson
レディー,れでぃー,lady
レバー,ればー,lever
レンジ,れんじ,range
レンタカー,れんたかー,hire car 
レントゲン,れんとげん,X-ray 
ロープ,ろーぷ,rope
ローマ字,ろ゜まじ,romanization
ロマンチック,ろまんちっく,romantic
ワット,わっと,watt
